Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1975,24.60,24.40,27.50,33.20,51.00,57.90,59.90,62.40,50.80,42.90,36.00,25.10
1976,15.60,26.00,34.20,37.10,44.00,58.00,58.10,55.30,49.10,37.50,24.30,15.00
1977,3.50,18.00,32.20,39.00,50.00,53.60,62.60,60.70,56.40,40.60,36.40,21.60
1978,13.30,9.90,26.00,37.10,47.70,55.60,60.60,61.50,55.80,38.70,34.10,24.80
1979,15.10,9.40,30.00,37.60,46.30,54.60,59.60,60.40,53.00,41.80,34.50,26.10
1980,19.40,14.90,25.50,36.10,47.20,51.70,61.70,63.80,54.40,38.90,30.20,20.80
1981,13.60,21.30,26.30,39.80,45.60,57.00,61.00,57.30,52.30,38.60,29.90,23.50
1982,12.80,20.30,28.50,32.00,50.50,53.00,60.90,55.60,52.30,43.40,36.50,30.60
1983,23.30,22.90,30.90,37.50,44.20,55.80,61.20,61.80,52.20,43.10,33.80,20.00
1984,15.00,26.70,23.40,38.10,44.80,56.50,56.60,60.10,49.10,48.80,29.80,29.60
1985,15.20,18.40,30.50,42.00,48.20,53.00,59.50,58.90,51.80,43.60,40.40,18.70
1986,19.30,24.50,28.80,39.80,49.80,56.60,62.20,56.80,55.20,43.50,32.70,26.50
1987,21.20,22.80,29.60,39.40,49.60,59.20,64.10,60.50,54.50,36.40,35.40,28.70
1988,16.00,20.00,27.90,37.60,47.20,52.40,62.10,62.70,51.70,36.40,33.70,22.40
1989,26.20,20.40,29.60,35.20,47.10,58.90,63.10,59.50,53.80,41.00,30.20,10.90
1990,27.70,26.10,32.60,38.60,46.30,56.40,60.40,59.90,53.20,44.10,34.20,28.40
1991,21.90,26.70,32.80,42.30,55.60,58.70,63.10,60.70,51.20,41.70,31.60,27.00
1992,21.80,26.20,28.40,40.00,45.60,53.30,62.20,56.60,52.20,37.90,36.60,26.00
1993,27.10,18.30,29.00,37.60,47.60,56.30,62.60,61.20,53.00,39.40,34.20,25.00
1994,13.10,20.00,28.60,39.60,43.00,58.50,62.70,58.20,51.20,39.20,36.20,28.60
1995,22.70,17.50,30.70,36.00,47.40,59.00,63.00,64.70,50.10,43.80,29.30,20.40
1996,18.50,21.70,23.80,37.10,48.10,59.70,59.00,59.20,55.10,41.20,29.30,28.90
1997,19.70,27.10,31.00,34.20,42.30,56.70,59.80,58.30,51.70,40.80,32.80,27.80
1998,30.40,31.70,34.10,39.00,53.30,58.10,59.80,61.20,54.90,42.40,34.40,29.00
1999,20.90,25.70,25.30,40.50,48.50,57.30,64.00,58.60,52.10,40.40,36.50,26.40
2000,19.40,27.30,34.30,38.80,51.20,59.40,58.20,59.30,51.50,43.40,32.00,15.80
2001,21.70,26.90,27.70,41.50,48.20,56.70,58.30,62.60,51.10,42.70,36.60,30.60
2002,27.40,24.90,30.30,41.00,44.30,58.70,63.20,62.00,55.20,43.00,33.60,24.20
2003,15.80,19.30,29.70,40.50,49.20,55.10,60.40,62.00,53.00,39.50,36.80,25.20
2004,14.80,22.10,33.00,40.00,52.60,56.90,61.60,58.50,54.90,43.10,36.90,25.10
2005,22.20,24.50,26.80,40.00,44.10,59.60,63.30,63.20,55.40,45.00,33.90,21.90
2006,30.30,23.80,30.10,40.80,46.70,55.60,63.40,61.90,52.60,41.50,36.40,30.00
2007,25.70,14.00,32.60,37.80,48.90,56.60,58.30,63.20,54.10,48.40,33.70,27.70
2008,23.10,21.10,29.00,41.10,44.40,58.50,61.20,57.80,54.10,40.20,32.30,24.10
2009,14.80,22.40,30.90,39.30,49.50,56.50,58.30,61.70,54.70,41.30,37.90,23.20
2010,20.00,19.80,33.10,41.30,51.20,61.00,63.30,62.70,54.00,43.00,32.00,20.50
2011,17.40,23.20,29.70,42.30,52.00,58.90,64.50,61.30,56.80,44.00,37.00,30.30
2012,23.60,27.80,39.30,37.70,54.40,57.00,64.90,60.00,53.10,43.50,30.30,31.20
2013,23.90,21.80,28.30,39.70,49.30,58.80,63.40,59.40,52.30,45.60,30.40,27.10
2014,12.30,16.90,22.70,38.80,49.90,59.10,59.70,58.70,52.90,44.60,30.10,29.70
2015,17.80,8.30,25.00,40.20,52.70,59.40,60.90,58.90,57.70,43.00,37.10,36.10
2016,17.80,24.50,36.30,37.70,49.10,59.40,63.40,65.40,57.20,45.80,34.00,26.20
2017,27.50,30.60,30.70,44.40,49.00,57.60,62.60,58.80,54.90,47.10,31.80,22.30
2018,15.30,28.70,26.30,34.70,55.10,59.60,62.20,63.70,60.50,44.70,31.80,29.00
2019,20.50,24.90,27.50,41.80,52.50,57.10,63.80,60.90,56.70,44.60,28.40,27.60
2020,27.60,26.10,36.00,36.50,47.00,57.20,65.00,62.10,53.00,44.60,36.40,27.90
2021,25.20,20.90,31.60,39.80,46.70,59.00,62.00,64.10,55.90,50.40,31.60,-99.90
