Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1916,3.70,2.96,4.14,2.54,2.61,5.86,2.13,3.75,1.70,2.31,2.46,2.45
1917,4.47,0.99,3.69,2.13,2.76,4.33,3.63,4.96,1.98,6.07,0.39,1.27
1918,2.55,2.40,1.76,3.05,5.20,2.77,2.46,4.14,2.91,3.20,1.83,3.30
1919,1.93,1.62,2.61,2.37,5.75,2.90,5.02,6.62,1.62,5.48,4.30,2.76
1920,2.75,1.72,1.98,4.21,1.69,6.44,3.39,4.01,3.33,2.06,2.47,2.18
1921,3.43,2.08,3.65,2.74,2.49,8.02,3.12,3.40,5.79,2.19,6.13,2.93
1922,1.81,1.90,4.69,4.58,2.70,3.81,3.67,2.28,2.06,2.31,1.47,2.33
1923,4.19,2.20,2.55,2.93,4.40,4.19,5.20,3.19,2.57,1.17,2.97,6.35
1924,4.69,2.57,3.84,3.18,5.68,5.90,3.01,3.31,5.81,0.18,1.39,2.54
1925,2.90,1.95,2.20,1.93,3.51,4.26,4.99,2.38,2.18,4.41,3.34,1.25
1926,2.62,3.83,1.66,1.75,2.16,2.78,2.20,4.88,8.85,4.23,3.32,3.02
1927,4.17,3.66,3.79,3.37,3.98,3.28,5.44,3.08,2.24,4.50,5.55,4.23
1928,1.51,3.52,4.11,4.38,1.66,8.34,4.96,2.61,1.19,1.92,2.11,1.77
1929,3.35,2.60,2.45,5.00,5.50,2.63,3.60,2.50,2.00,5.12,3.67,2.37
1930,1.99,3.31,2.90,2.06,2.66,4.12,1.27,1.20,1.40,1.09,0.75,1.94
1931,1.10,2.28,2.26,3.72,5.13,5.89,3.68,3.07,3.69,1.29,1.80,3.26
1932,5.02,0.90,3.33,1.35,2.69,1.43,3.50,1.92,0.89,2.90,3.70,2.03
1933,2.65,1.71,6.16,4.32,6.44,1.91,3.64,4.28,3.75,0.71,1.56,3.51
1934,2.20,0.96,2.29,2.86,1.29,4.02,3.27,7.50,3.93,0.86,2.76,1.37
1935,3.07,3.08,3.11,2.06,4.08,3.73,2.76,6.01,2.08,2.21,2.25,3.10
1936,3.20,2.08,6.03,2.13,1.29,2.61,3.24,4.72,3.41,4.64,2.85,3.03
1937,7.85,1.55,1.83,5.91,3.55,3.12,5.48,3.94,1.30,4.07,1.42,3.08
1938,2.23,2.77,3.79,3.62,5.00,4.90,2.30,2.86,3.50,1.22,2.69,1.31
1939,2.59,4.55,3.31,3.13,1.77,5.89,3.86,1.29,2.10,3.15,0.52,1.91
1940,0.96,3.40,3.79,5.69,4.78,5.38,3.48,3.85,3.52,1.35,3.84,3.20
1941,2.92,0.52,1.65,1.47,3.44,4.74,4.70,5.87,1.92,4.03,2.28,1.90
1942,1.63,2.29,4.47,2.90,4.42,3.78,2.23,3.63,3.45,3.79,3.74,4.97
1943,2.48,1.64,3.26,3.16,5.50,2.40,7.08,2.40,0.79,3.68,1.63,1.17
1944,1.57,1.94,5.41,3.57,3.46,5.04,3.19,4.25,2.55,3.25,2.43,4.44
1945,2.31,3.06,7.07,4.16,4.88,3.84,2.81,2.37,8.35,2.68,4.27,2.04
1946,1.07,2.50,2.59,1.27,5.56,6.33,2.62,2.51,1.81,3.72,1.53,2.32
1947,3.84,1.18,1.63,2.49,5.29,4.62,5.72,3.86,1.68,1.14,3.09,1.25
1948,2.16,2.07,3.77,6.75,3.41,5.87,3.93,3.85,1.79,3.09,3.30,3.16
1949,4.16,2.84,2.69,3.06,2.70,2.88,5.52,1.92,2.49,1.48,1.69,3.20
1950,6.15,3.34,3.71,2.44,3.09,4.93,4.96,3.29,3.89,1.62,6.67,2.43
1951,4.12,3.39,4.67,4.72,2.82,6.61,3.79,0.58,3.04,1.28,3.56,3.61
1952,5.33,2.45,4.17,3.68,5.52,3.65,3.09,3.56,1.75,1.21,2.23,2.44
1953,3.65,1.46,3.29,3.53,5.21,3.58,3.84,2.34,2.95,1.09,1.20,1.81
1954,2.18,1.48,4.24,4.33,2.52,4.27,2.08,5.49,2.68,8.18,1.18,2.95
1955,1.17,3.26,4.20,3.59,2.01,3.64,3.42,6.80,2.22,3.55,2.84,0.30
1956,1.84,5.95,5.08,4.56,5.59,5.41,5.30,5.63,3.05,1.60,0.90,3.67
1957,1.76,1.73,2.67,5.29,2.48,4.37,2.83,0.58,3.70,1.85,2.00,4.35
1958,2.82,1.06,1.57,3.18,4.30,3.26,7.13,5.30,4.01,1.09,2.29,0.98
1959,3.61,2.48,2.12,3.71,2.88,3.07,4.20,3.82,0.68,5.62,3.03,2.69
1960,2.88,2.85,1.93,1.34,5.02,3.78,3.35,2.94,2.52,1.63,1.78,1.56
1961,1.98,3.21,3.59,5.61,2.76,4.53,4.60,2.49,1.96,2.88,3.51,1.90
1962,2.57,3.36,3.47,3.52,2.34,2.36,3.10,2.68,5.40,1.95,1.37,2.11
1963,1.66,2.04,5.53,2.35,1.72,2.89,3.23,2.36,1.01,0.37,3.01,1.55
1964,2.50,1.88,5.05,6.14,1.84,4.81,4.35,3.00,1.10,1.50,2.70,4.17
1965,3.82,2.65,3.18,2.19,1.99,1.70,1.90,2.89,4.46,2.97,2.53,0.71
1966,3.98,2.97,2.09,3.60,3.68,1.53,2.85,3.88,2.07,1.66,4.07,1.97
1967,0.84,2.44,5.96,4.08,5.26,0.91,5.21,3.23,1.96,2.44,2.57,2.25
1968,2.60,0.71,3.25,2.43,6.65,1.80,1.69,3.14,3.14,2.28,2.65,3.13
1969,2.26,0.62,1.05,3.43,2.31,3.42,5.35,2.90,1.11,2.26,2.47,3.90
1970,1.46,1.83,2.91,3.25,3.65,4.14,3.83,3.18,2.82,4.22,3.01,3.35
1971,2.34,3.70,2.64,0.66,3.98,3.31,4.59,2.98,3.38,1.12,2.39,3.39
1972,2.32,2.96,3.64,4.53,2.19,8.36,3.23,1.91,5.41,2.43,4.21,3.35
1973,2.04,1.88,3.83,4.97,4.58,3.98,2.30,2.44,3.81,3.80,3.31,2.56
1974,3.70,1.79,3.93,3.06,5.46,4.63,4.68,3.82,5.09,1.14,2.85,3.84
1975,3.68,4.09,4.24,2.32,3.19,3.98,2.68,6.54,5.45,3.26,1.99,3.12
1976,3.59,2.21,3.31,2.29,1.99,4.22,3.75,2.78,3.34,4.35,0.71,1.76
1977,1.47,0.92,4.33,3.62,2.69,3.19,4.81,3.42,3.40,2.57,2.64,3.03
1978,5.10,0.51,1.79,2.40,4.94,4.70,3.61,4.28,2.49,3.93,1.68,4.84
1979,4.63,2.81,1.63,3.57,5.13,2.36,4.81,5.54,4.08,3.28,2.81,2.13
1980,1.22,1.20,4.59,3.13,4.38,4.93,6.76,5.89,1.91,2.41,2.45,1.34
1981,0.82,3.88,1.73,5.03,2.39,6.64,5.68,1.70,4.38,2.48,1.48,2.30
1982,3.14,2.12,3.41,1.28,3.68,3.89,3.19,2.59,2.82,0.59,3.91,2.50
1983,1.14,1.40,3.29,4.53,5.73,3.73,3.30,3.11,2.76,3.54,3.85,4.23
1984,1.26,1.97,2.29,4.20,5.18,2.83,3.83,5.30,1.07,3.12,3.10,3.12
1985,1.41,1.34,3.87,1.89,5.59,2.57,4.79,3.11,0.95,2.22,10.77,2.14
1986,1.94,3.42,1.96,2.18,2.79,3.71,6.13,2.84,2.49,3.17,4.74,3.49
1987,2.18,0.59,2.69,4.80,3.64,4.28,2.89,5.99,4.43,1.27,2.09,2.46
1988,1.33,3.24,2.65,2.22,3.59,1.26,3.47,3.21,2.64,1.80,3.33,1.77
1989,2.28,3.32,5.62,1.72,6.35,6.77,2.26,1.62,4.80,2.48,1.91,2.00
1990,3.05,3.09,1.63,3.13,5.48,3.82,5.94,3.61,5.18,3.80,1.88,7.31
1991,2.72,1.97,2.97,2.92,2.80,1.89,3.59,2.22,3.16,0.76,2.38,4.10
1992,2.05,1.77,3.60,2.28,2.51,1.10,8.50,3.57,3.43,1.21,3.61,2.94
1993,2.59,2.50,4.44,3.70,2.22,4.01,3.58,2.26,4.24,2.66,4.54,2.27
1994,3.90,2.67,5.78,3.59,2.95,3.18,3.10,7.44,3.10,1.12,4.23,2.64
1995,2.41,1.90,1.52,2.26,4.29,4.59,2.28,2.53,1.94,3.74,2.80,2.09
1996,4.35,2.50,4.16,4.26,4.00,6.13,3.51,2.76,5.44,3.17,3.40,3.19
1997,1.70,1.65,3.98,1.52,6.14,3.83,2.12,4.54,3.19,1.07,5.98,1.73
1998,3.20,2.50,2.38,4.92,3.04,5.61,2.60,3.74,2.07,2.19,1.17,1.89
1999,4.98,2.04,2.25,4.23,3.90,1.71,4.41,2.61,2.61,1.78,3.73,2.44
2000,1.74,2.91,2.46,3.86,5.13,4.14,5.33,4.02,3.20,2.30,1.37,2.52
2001,1.82,1.29,3.30,4.10,3.10,3.27,3.23,3.60,2.44,2.26,2.71,3.01
2002,1.95,1.29,4.03,3.26,4.91,4.28,2.74,3.64,3.57,3.56,2.61,2.70
2003,2.30,2.76,1.47,2.51,5.36,4.71,6.08,4.18,4.32,2.94,3.85,3.33
2004,4.38,2.31,3.17,4.94,5.22,5.02,4.66,5.34,9.52,2.98,2.87,2.56
2005,6.66,2.27,2.52,3.07,3.05,2.09,3.65,3.67,1.66,3.58,3.72,1.74
2006,4.02,1.47,1.85,3.41,3.50,5.12,4.41,2.42,4.23,5.42,2.06,1.88
2007,3.79,1.62,5.01,4.02,1.83,4.04,3.60,7.42,2.30,1.85,4.13,4.73
2008,1.82,5.13,4.30,2.65,4.08,5.51,3.27,1.90,2.61,1.83,1.88,5.36
2009,3.28,1.06,1.87,2.51,3.89,4.26,4.12,2.99,2.01,2.59,0.95,3.72
2010,2.71,3.06,2.42,1.86,4.66,5.47,3.63,2.21,3.04,2.66,3.23,3.24
2011,2.21,3.49,4.63,6.16,5.10,2.55,4.09,3.98,5.07,4.43,3.97,2.96
2012,3.05,1.45,3.89,1.67,4.00,1.89,7.16,2.46,4.98,4.85,0.85,5.87
2013,2.60,2.18,2.09,2.96,2.67,6.28,7.31,3.33,2.57,2.68,3.29,3.82
2014,2.08,2.22,2.03,3.79,5.17,5.01,4.26,5.21,1.16,2.42,2.03,2.99
2015,2.26,1.32,4.17,4.16,2.70,9.32,3.72,1.74,5.31,3.32,1.71,3.76
2016,1.73,3.18,2.40,2.38,3.68,4.45,3.55,4.27,3.38,5.03,1.13,3.96
2017,3.82,1.60,4.38,4.36,5.40,6.67,6.81,3.17,1.25,4.52,4.14,1.62
2018,3.79,6.92,3.01,4.37,3.88,6.59,4.19,5.02,10.08,4.41,4.47,4.59
2019,3.14,4.39,2.31,3.95,6.50,6.67,7.21,3.00,3.12,6.15,2.53,3.63
2020,3.39,3.64,5.47,4.74,2.65,2.03,3.00,4.85,1.50,3.20,2.06,3.19
2021,1.85,2.60,3.52,2.53,4.00,4.45,5.12,6.31,4.98,3.88,0.94,0.94
