"AGENCY 0","DATA 0","DATA TYPE 0","LOCATION 0","LOCATION TYPE 0","SOURCE 0","SOURCE TYPE 0","SUBJECT 0","TIME 0","TIME TYPE 0"
"National Centers for Environmental Information","2.269809829869919","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1921-03","ISO_DATE"
"National Centers for Environmental Information","0.3265470676894425","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1983-01","ISO_DATE"
"National Centers for Environmental Information","0.7437117823172665","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1932-09","ISO_DATE"
"National Centers for Environmental Information","1.5557902806040682","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1930-02","ISO_DATE"
"National Centers for Environmental Information","0.348324985211853","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1986-03","ISO_DATE"
"National Centers for Environmental Information","-0.4793686023954831","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1951-09","ISO_DATE"
"National Centers for Environmental Information","-1.412716985772912","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1966-05","ISO_DATE"
"National Centers for Environmental Information","0.1318200512202893","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1968-07","ISO_DATE"
"National Centers for Environmental Information","1.5687692437433431","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1965-05","ISO_DATE"
"National Centers for Environmental Information","-0.8081059208078498","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1965-06","ISO_DATE"
"National Centers for Environmental Information","2.288115186848609","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1947-10","ISO_DATE"
"National Centers for Environmental Information","-0.17280252394633308","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1970-06","ISO_DATE"
"National Centers for Environmental Information","-0.9344704271343416","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1968-01","ISO_DATE"
"National Centers for Environmental Information","0.15538465316814654","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1968-10","ISO_DATE"
"National Centers for Environmental Information","0.17317994482083976","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1969-05","ISO_DATE"
"National Centers for Environmental Information","0.9292390080154536","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1918-03","ISO_DATE"
"National Centers for Environmental Information","0.5481492207207517","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1964-04","ISO_DATE"
"National Centers for Environmental Information","-1.1229559547175658","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1947-11","ISO_DATE"
"National Centers for Environmental Information","-1.2285833530266552","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1969-12","ISO_DATE"
"National Centers for Environmental Information","-1.1363042104313676","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1901-04","ISO_DATE"
"National Centers for Environmental Information","-0.1191216686172393","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1918-11","ISO_DATE"
"National Centers for Environmental Information","0.8990770188774434","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1929-04","ISO_DATE"
"National Centers for Environmental Information","-0.2951274830964359","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1929-07","ISO_DATE"
"National Centers for Environmental Information","1.069412024745488","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1946-10","ISO_DATE"
"National Centers for Environmental Information","-0.2391532571335348","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1946-05","ISO_DATE"
"National Centers for Environmental Information","-0.890654751721685","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1966-04","ISO_DATE"
"National Centers for Environmental Information","0.10255366787186733","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1964-03","ISO_DATE"
"National Centers for Environmental Information","0.6489490239989653","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1964-05","ISO_DATE"
"National Centers for Environmental Information","0.057867973810051175","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1949-03","ISO_DATE"
"National Centers for Environmental Information","0.3952055151039659","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1949-05","ISO_DATE"
"National Centers for Environmental Information","-0.11543827174365706","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1901-10","ISO_DATE"
"National Centers for Environmental Information","0.20489788343271523","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1901-05","ISO_DATE"
"National Centers for Environmental Information","-0.10633953501125966","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1927-01","ISO_DATE"
"National Centers for Environmental Information","0.2489509029528809","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1965-11","ISO_DATE"
"National Centers for Environmental Information","-0.11228150268603512","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1919-05","ISO_DATE"
"National Centers for Environmental Information","-0.5046341737493236","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1949-04","ISO_DATE"
"National Centers for Environmental Information","-0.7597436217244609","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1968-12","ISO_DATE"
"National Centers for Environmental Information","0.7951819258300082","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1927-03","ISO_DATE"
"National Centers for Environmental Information","-0.1757173799097861","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1927-05","ISO_DATE"
"National Centers for Environmental Information","-1.8659486794527884","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1946-08","ISO_DATE"
"National Centers for Environmental Information","-0.5086012502548023","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","2015-07","ISO_DATE"
"National Centers for Environmental Information","-1.4872320085880595","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1928-04","ISO_DATE"
"National Centers for Environmental Information","0.04818404573281512","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1928-11","ISO_DATE"
"National Centers for Environmental Information","-0.2589847150396383","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1927-04","ISO_DATE"
"National Centers for Environmental Information","0.01058360735104823","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1966-02","ISO_DATE"
"National Centers for Environmental Information","0.3354401935428815","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","2013-06","ISO_DATE"
"National Centers for Environmental Information","-1.8884860649510375","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1917-05","ISO_DATE"
"National Centers for Environmental Information","0.8709745942820915","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1916-05","ISO_DATE"
"National Centers for Environmental Information","0.01997319071224474","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1916-10","ISO_DATE"
"National Centers for Environmental Information","1.2049181094466386","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1965-12","ISO_DATE"
"National Centers for Environmental Information","-0.6232312559532907","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","2006-10","ISO_DATE"
"National Centers for Environmental Information","-0.5619696920443901","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1961-07","ISO_DATE"
"National Centers for Environmental Information","0.8789782362745641","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1995-07","ISO_DATE"
"National Centers for Environmental Information","-1.3485358731958825","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1994-01","ISO_DATE"
"National Centers for Environmental Information","0.9409828121096458","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1898-09","ISO_DATE"
"National Centers for Environmental Information","-0.4695095023469119","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1898-12","ISO_DATE"
"National Centers for Environmental Information","0.5712221039985351","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1960-01","ISO_DATE"
"National Centers for Environmental Information","-0.24264336664463018","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1897-09","ISO_DATE"
"National Centers for Environmental Information","1.4605614959281508","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","2008-04","ISO_DATE"
"National Centers for Environmental Information","0.5053991437474267","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","2006-07","ISO_DATE"
"National Centers for Environmental Information","0.4779636610894148","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1992-04","ISO_DATE"
"National Centers for Environmental Information","-0.3198885258373051","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1991-11","ISO_DATE"
"National Centers for Environmental Information","1.3017837041789135","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","2012-02","ISO_DATE"
"National Centers for Environmental Information","1.2171148453705292","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1915-02","ISO_DATE"
"National Centers for Environmental Information","-1.619291924710356","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1914-02","ISO_DATE"
"National Centers for Environmental Information","-0.3704262572866828","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1913-02","ISO_DATE"
"National Centers for Environmental Information","-1.5188174724042043","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1962-12","ISO_DATE"
"National Centers for Environmental Information","0.5616190405358543","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1991-10","ISO_DATE"
"National Centers for Environmental Information","1.1991888870121061","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","2010-07","ISO_DATE"
"National Centers for Environmental Information","0.4762623307971636","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1897-02","ISO_DATE"
"National Centers for Environmental Information","-0.2951274830964359","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","2008-07","ISO_DATE"
"National Centers for Environmental Information","1.3531686176632391","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","2006-11","ISO_DATE"
"National Centers for Environmental Information","1.821624617843391","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1994-11","ISO_DATE"
"National Centers for Environmental Information","0.5835623316529898","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1992-11","ISO_DATE"
"National Centers for Environmental Information","1.6711181748221662","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1960-04","ISO_DATE"
"National Centers for Environmental Information","-1.7251279982208367","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","2007-02","ISO_DATE"
"National Centers for Environmental Information","0.6914269751632821","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","2007-12","ISO_DATE"
"National Centers for Environmental Information","1.1536132012642413","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1991-02","ISO_DATE"
"National Centers for Environmental Information","1.2850975968498048","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1942-04","ISO_DATE"
"National Centers for Environmental Information","-0.20318916068615375","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1942-09","ISO_DATE"
"National Centers for Environmental Information","-1.8925622407278175","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1910-11","ISO_DATE"
"National Centers for Environmental Information","0.23661075005731422","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1942-03","ISO_DATE"
"National Centers for Environmental Information","0.8075387170583405","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1942-05","ISO_DATE"
"National Centers for Environmental Information","0.05685030330138372","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1909-04","ISO_DATE"
"National Centers for Environmental Information","2.0893137608034795","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1909-11","ISO_DATE"
"National Centers for Environmental Information","1.845295736282672","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1910-03","ISO_DATE"
"National Centers for Environmental Information","-0.9257475315373521","STRING","Allegheny","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","difference from the current month’s average temperature and the historic average over the noted time span in standard deviations (z-score) Split By FIPS","1939-04","ISO_DATE"
